fichier de description version 2;;;;;;;;;;;;;;;;;;;;;
Ss;name;Parameter Description;Type[range]* (unit8, unit16, uint24, unit32, uint48, uint64,int8,int16,int24,int32,int48,int64,float,double,string,bytearr);Generate function transfer variable (yes:  variable créée automatiquement de type double (64 bits) et de meme range que variable source);options (noscript);DefVal (si autre que 0);QUBIC HK;QUBIC Sum;QUBIC Raw;Cfibers;Switches;mmr3;mgc3;hwp_ack;hwp_data;calibSrcFreqTM;calibSrcUnknowTM;PlatformControlerTM;PlatformAzMotorTM;PlatformElMotorTM;GPSTM
QUBIC;PreviewRawDataSize;taille du raw signal de preview;8;;;;;;;;;;;;;;;;;;
QUBIC;PreviewRawData;raw signal de preview (max size = 100);(int16[100:QUBIC_PreviewRawDataSize])[16][128];;noscript;;;;;;;;;;;;;;;;
QUBIC;RawDataFromTM;Dernier raw signal retourné dans la TM (max size = 10000);int16[10000:QUBIC_Nsample];;noscript;;;;little:::8:::[size=QUBIC_Nsample];;;;;;;;;;;;
QUBIC;WorkingRawDataSize;taille du tableau de raw signal de travail;16;;;;;;;;;;;;;;;;;;
QUBIC;WorkingRawData;raw signal de travail (max size = 1000);(int16[1000:QUBIC_WorkingRawDataSize])[16][128];;noscript;;;;;;;;;;;;;;;;
QUBIC;WorkingRawData_TF;raw signal de travail (max size = 1000);(float[1000:QUBIC_WorkingRawDataSize])[16][128];;noscript;;;;;;;;;;;;;;;;
QUBIC;VOffset;used to calculate ;(float[128])[16];;;;;;;;;;;;;;;;;;
QUBIC;Rfb;Rfb;float[16];;;;;;;;;;;;;;;;;;
QUBIC;MinMfb;(Min/Mfb) ;float[16];;;;;;;;;;;;;;;;;;
QUBIC;Vout2Iin;coeff  (Min/Mfb) * Rfb;float[16];;;;;;;;;;;;;;;;;;
QUBIC;scientificDataTfUsed;0 = raw data, 1 = Vout, 2 = Iin;8;;;0;;;;;;;;;;;;;;;
QUBIC;FLL_State;;8[16];;;1;;;;;;;;;;;;;;;
QUBIC;FLL_P;;int16[16];;;1;little:::36:::[NETQUIC_HeaderTM_ASIC&0xF];;;;;;;;;;;;;;
QUBIC;FLL_I;;int16[16];;;0;little:::38:::[NETQUIC_HeaderTM_ASIC&0xF];;;;;;;;;;;;;;
QUBIC;FLL_D;;int16[16];;;0;little:::40:::[NETQUIC_HeaderTM_ASIC&0xF];;;;;;;;;;;;;;
Switches;Response;;string;;;;;;;;0;;;;;;;;;;
Switches;RegistersValues;;16[4096];;;;;;;;;;;;;;;;;;
MMR3;Msg;;string;;;;;;;;;;;;;;;;;;
MGC3;Msg;;string;;;;;;;;;;;;;;;;;;
MMR3;LastCmdResponse;;string;;;;;;;;;;;;;;;;;;
MGC3;LastCmdResponse;;string;;;;;;;;;;;;;;;;;;
MMR3;HKs;;(double)[36];;;;;;;;;;;;;;;;;;
MGC3;HKs;;(double)[46];;;;;;;;;;;;;;;;;;
CFIBERS;Response;;string;;;;;;;;;;;;;;;;;;
CFibers;Amplitudes;;16[4];;;;;;;;;;;;;;;;;;
CFibers;Offsets;;16[4];;;;;;;;;;;;;;;;;;
CFibers;Durations;;16[4];;;;;;;;;;;;;;;;;;
CFibers;BrochesFlag;;8[3];;;;;;;;;;;;;;;;;;
CFibers;A0;;16;;;;;;;;;;;;;;;;;;
CFibers;RealtimeClock;;32;;;;;;;;;;;;;;;;;;
HWP;velocity;;uint8;;;255;;;;;;;;;;;;;;;
HWP;direction;;uint8;;;255;;;;;;;;;;;;;;;
HWP;position;;uint8;;;255;;;;;;;;;;;;;;;
HWP;receivedMsg;;string;;;;;;;;;;;;;;;;;;
HWP;nbCommandCompleted;used to know when a command will be completed;uint16;;;0;;;;;;;;;;;;;;;
CalibSrc;hfFrequency;;double;;;0;;;;;;;;;;;;;;;
CalibSrc;lfFrequency;;double;;;0;;;;;;;;;;;;;;;
Platform;AcqCount;;16;;;;;;;;;;;;;;;little:::0;;;
Platform;PPS;;8;;;;;;;;;;;;;;;2;;;
Platform;Azimut;;16;;;;;;;;;;;;;;;little:::3;;;
Platform;Elevation;;16;;;;;;;;;;;;;;;little:::5;;;
Platform;DeltaTime;;16;;;;;;;;;;;;;;;little:::7;;;
Platform;Status;;8;;;;;;;;;;;;;;;9;;;
Platform;AzMotorResponse;;string;;;;;;;;;;;;;;;;;;
Platform;ElMotorResponse;;string;;;;;;;;;;;;;;;;;;
GPS;Date;;int64;;;0;;;;;;;;;;;;;;;
GPS;trameStr;;string;;;;;;;;;;;;;;;;;;
